"","ROI","date","doy","r.av","g.av","b.av","r.sd","g.sd","b.sd","bri.av","bri.sd","gi.av","gi.sd","gei.av","gei.sd","ri.av","ri.sd","bi.av","bi.sd"
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.32",1,2019-08-03 12:00:00,215,144.712463930001,156.839238341245,87.0507132551429,49.5140782530638,48.6007772625599,48.6308603497814,388.602415526389,141.119500236528,0.414979772116591,0.0563337258776644,81.9152994973471,39.8529542100956,0.375956221780041,0.0383333805753368,0.209064006103368,0.0599916043826536
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.33",1,2019-08-04 12:00:00,216,142.652500465419,154.013985851252,86.3259913432002,50.125014697987,49.3760455105883,48.46953489516,382.992477659872,142.318472283752,0.413092701681246,0.0562037111836634,79.0494798938844,40.1975366821972,0.376022447177884,0.0388876663719269,0.21088485114087,0.0597851002644249
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.34",1,2019-08-05 12:00:00,217,140.373755003258,150.957937726892,82.5391010425393,49.3609379287492,48.8140648664219,46.8427955524402,373.870793772689,139.616025542136,0.414397747652551,0.0550874359746774,79.0030194079866,38.9668744672569,0.379337944468787,0.0389395859443024,0.206264307878662,0.0587920115175468
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.35",1,2019-08-06 12:00:00,218,135.689419854789,144.790095876385,79.4602822768314,49.1315292239763,48.897548465264,45.9076997554855,359.939798008005,138.736332094919,0.412315632843162,0.0542355522282849,74.4304896211486,38.3003227910087,0.381306530483526,0.0398636820192827,0.206377836673312,0.0579818300225845
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.36",1,2019-08-07 12:00:00,219,136.672583310062,144.13839244159,80.0922228427814,50.2112260571679,49.7394928637258,47.1805773289874,360.903198594434,142.149828324641,0.40971212076043,0.0539516974084684,71.511978730336,37.3888366993127,0.383562209026831,0.0403365964979512,0.20672567021274,0.0586265536024632
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.37",1,2019-08-08 12:00:00,220,136.101304337708,140.877332914456,77.3875721399981,50.2359873982081,49.687005272904,45.0161720831399,354.366209392162,139.870156542189,0.406206456652963,0.0496580862628079,68.2657893512054,36.5739578921654,0.38890086532799,0.0400763040381613,0.204892678019047,0.0571135444401061
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.38",1,2019-08-09 12:00:00,221,134.370613422694,143.91087801359,82.8267941915666,33.2418200765719,30.6352709858638,28.0692849485845,361.108285627851,88.4258716517996,0.403005435730258,0.0346439147695733,70.62434841292,26.0036517601287,0.373052242353115,0.0286179241377812,0.223942321916627,0.0341083114460216
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.39",1,2019-08-10 12:00:00,222,138.282951689472,145.612794377734,82.2386786744857,36.0459553655589,33.0496549209388,29.9628137750113,366.134424741692,95.133056811641,0.402905942208309,0.0381152524467036,70.7039583915108,27.070838322729,0.379133644778571,0.0339219205959179,0.217960413013121,0.0385711936428043
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.40",1,2019-08-11 12:00:00,223,145.840227357349,152.530898026622,87.0127873964442,36.9869762810006,35.4991950197218,32.9527170519056,385.383912780415,101.502647593478,0.4008300122939,0.0361935927212091,72.2087812994508,27.4949813102526,0.381070674119368,0.0333792755540089,0.218099313586732,0.0411743121364336
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.41",1,2019-08-12 12:00:00,224,150.64565880108,154.867943079214,92.3018826212417,47.9079758507258,48.3135191973161,47.7874034786032,397.815484501536,138.976972904272,0.395925651015955,0.0418506036098036,66.7883447361072,36.7571601794718,0.384070782656865,0.0353779133774546,0.22000356632718,0.0515695330323704
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.42",1,2019-08-13 12:00:00,225,153.144402168854,154.294255561761,91.8218200223401,53.5106808616093,54.4317764961705,53.2148332053876,399.260477752955,155.562514283977,0.394107583413188,0.0459019270471397,63.622288932328,40.4485387244923,0.391195147604479,0.0397016160125669,0.214697268982333,0.0583529398558489
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.43",1,2019-08-14 12:00:00,226,142.491308293773,144.037745508703,85.6235397468119,55.3694587658259,56.1145833943761,52.0630819530977,372.152593549288,158.4303123734,0.39480139979158,0.0471910433581901,59.9606429768221,38.884565885001,0.390254370665239,0.0400366124297942,0.214944229543181,0.0581963642574938
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.44",1,2019-08-15 12:00:00,227,130.703894396351,148.474727729684,100.434096621056,34.6805908887464,35.6367136134406,33.901915021773,379.612718747091,100.687281245893,0.39541726072759,0.0375121304990626,65.8114644419622,28.8277691018329,0.344836153955183,0.026859231398813,0.259746585317227,0.0343759981296596
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.45",1,2019-08-16 12:00:00,228,138.450211765801,143.091507260542,84.2270024667225,39.4917097690582,39.9889692623333,36.7407055140813,365.768721493065,112.585449961315,0.395967118379598,0.0380471217636107,63.50580028856,30.6083926917426,0.382281734101784,0.0309402199148223,0.221751147518617,0.0429510195093872
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.46",1,2019-08-17 12:00:00,229,143.057671274318,145.845684399144,87.6523550218747,52.7706515902853,53.3211341110281,49.4611273063054,376.555710695336,150.592772480283,0.393957879342002,0.0436524212373489,60.9813425020944,38.0022865593398,0.386001276760115,0.0371094945888161,0.220040843897883,0.0534606868103902
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.47",1,2019-08-18 12:00:00,230,126.741442101834,128.828975844736,77.5147363399423,61.4464774935917,61.5763582319503,53.9126611554088,333.085154286512,171.855436569292,0.397311968826987,0.058163435818229,53.4017732476962,40.0331296782581,0.387598887620222,0.0481876481491968,0.215089143552791,0.0643265934406576
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.48",1,2019-08-19 12:00:00,231,128.780176626641,130.411797216792,79.4403099692823,60.5270100486893,59.8788070130388,52.901671286932,338.632283812715,168.289639420489,0.394855844977564,0.0550401422305367,52.6031078376617,39.0161458795805,0.386277975857604,0.0462402708262384,0.218866179164833,0.0612968486764758
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.49",1,2019-08-20 12:00:00,232,131.844904821744,133.70496486084,81.5771258028484,58.2064280090846,57.6484560196537,52.4589211704719,347.126995485432,163.392093563707,0.39446041851804,0.0517131204807235,53.9878990970865,38.3430242904504,0.386060440484749,0.043612114680348,0.21947914099721,0.0589303730248839
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.50",1,2019-08-21 12:00:00,233,140.848122032952,151.79607651494,93.0831471655962,35.1433771349986,36.2619158260788,31.2104587177063,385.727345713488,98.8168292651042,0.39655453645252,0.0353847659641729,69.660883831332,31.263211514929,0.366981305298463,0.0276582781725102,0.236464158249017,0.0342160458767653
